,mcc_code,currency_rk,transaction_amt,cat_id
0,1,1,0.376901581692889,1
1,1,1,0.37077225383120055,1
2,2,1,0.37362509370179314,1
3,1,1,0.3766368709328835,1
4,3,1,0.37597672039908026,1
5,1,1,0.3715840583604386,1
6,2,1,0.3767983462170071,1
7,4,1,0.37314338328162555,1
8,1,1,0.37607319378148507,1
9,2,1,0.37510900538564956,1
10,5,1,0.37398765727284955,1
11,1,1,0.37683405215542537,1
12,2,1,0.3764880553695113,1
13,6,1,0.37683095237708086,1
14,7,1,0.3748108725968165,1
15,8,1,0.38012983168548264,1
16,8,1,0.378202344767102,1
17,1,1,0.3757665890078748,1
18,2,1,0.3769171520882268,1
19,2,1,0.37451942204249444,1
20,2,1,0.37482830038097525,1
21,3,1,0.37226654342926513,1
22,1,1,0.3747732491906255,1
23,6,1,0.3769463074599596,1
24,4,1,0.36416105412623867,1
25,1,1,0.3768046374551995,1
26,6,1,0.37484050351306153,1
27,3,1,0.3749551750770815,1
28,2,1,0.37457213214309704,1
29,6,1,0.37670421585687963,1
30,6,1,0.3746204187958875,1
31,2,1,0.3769153008948701,1
32,7,1,0.3773361290773399,1
33,9,1,0.3729735852722586,1
34,6,1,0.3749008014090631,1
35,1,1,0.3737650732258133,1
36,10,1,0.3765562175264001,1
37,11,1,0.3681517388689756,1
38,12,1,0.5494039898800827,1
39,4,1,0.35228018258130067,1
40,1,1,0.37599656509637475,1
41,4,1,0.3725066355173001,1
42,12,1,0.7723835771817144,1
43,4,1,0.36865064812531956,1
44,4,1,0.3723310712927084,1
45,1,1,0.3649557350742976,1
46,6,1,0.3742153425173859,1
47,1,1,0.3682701906893059,1
48,12,1,0.3937397966046313,1
49,12,1,0.38532558674852607,1
50,8,1,0.39803688150014016,1
51,12,1,0.4073380663060858,1
52,13,1,0.3772635060369723,1
53,6,1,0.37677147188448934,1
54,1,1,0.37668242828472503,1
55,1,1,0.3765716506552589,1
56,1,1,0.3748804898352225,1
57,14,1,0.37600445561693624,1
58,1,1,0.3629690713547531,1
59,1,1,0.37274623242290633,1
